rs_tx	gene	tx_recovery	gene_recovery	perc_recovery
NM_003748	ALDH4A1	2	3.0	66.66666666666666
NM_001161504	ALDH4A1	1	3.0	33.33333333333333
NM_020765	UBR4	5	5.0	100.0
NM_001271429	EMC1	7	8.0	87.5
NM_001271427	EMC1	7	8.0	87.5
NM_001271428	EMC1	7	8.0	87.5
NM_015047	EMC1	7	8.0	87.5
NM_001161729	PLA2G2A	1	1.0	100.0
NM_001161728	PLA2G2A	1	1.0	100.0
NM_001161727	PLA2G2A	1	1.0	100.0
NM_000300	PLA2G2A	1	1.0	100.0
NM_032409	PINK1	13	13.0	100.0
NR_046507	PINK1	6	13.0	46.15384615384615
NM_005216	DDOST	1	2.0	50.0
NM_001113348	ECE1	3	3.0	100.0
NM_001397	ECE1	3	3.0	100.0
NM_001113349	ECE1	3	3.0	100.0
NM_001113347	ECE1	3	3.0	100.0
NM_001369805	ALPL	53	60.0	88.33333333333333
NM_001369804	ALPL	53	60.0	88.33333333333333
NM_000478	ALPL	53	60.0	88.33333333333333
NM_001127501	ALPL	52	60.0	86.66666666666667
NM_001177520	ALPL	48	60.0	80.0
NM_001369803	ALPL	53	60.0	88.33333333333333
NM_005529	HSPG2	4	8.0	50.0
NM_001291860	HSPG2	4	8.0	50.0
NM_001039802	CDC42	9	9.0	100.0
NM_001791	CDC42	9	9.0	100.0
NM_044472	CDC42	8	9.0	88.88888888888889
NM_030761	WNT4	1	1.0	100.0
NM_001347465	C1QA	3	3.0	100.0
NM_015991	C1QA	3	3.0	100.0
NM_001347466	C1QA	3	3.0	100.0
NM_001347619	C1QC	4	4.0	100.0
NM_001114101	C1QC	4	4.0	100.0
NM_172369	C1QC	4	4.0	100.0
NM_001347620	C1QC	3	4.0	75.0
NM_001371184	C1QB	2	3.0	66.66666666666666
NM_000491	C1QB	2	3.0	66.66666666666666
NM_004442	EPHB2	4	4.0	100.0
NM_017449	EPHB2	4	4.0	100.0
NM_001309193	EPHB2	4	4.0	100.0
NM_001309192	EPHB2	4	4.0	100.0
NM_001009999	KDM1A	5	5.0	100.0
NM_001363654	KDM1A	5	5.0	100.0
NM_015013	KDM1A	5	5.0	100.0
NM_001297622	HNRNPR	1	1.0	100.0
NM_001297621	HNRNPR	1	1.0	100.0
NM_001102397	HNRNPR	1	1.0	100.0
NM_001102399	HNRNPR	1	1.0	100.0
NM_001297620	HNRNPR	1	1.0	100.0
NM_005826	HNRNPR	1	1.0	100.0
NM_001102398	HNRNPR	1	1.0	100.0
NM_001199802	RPL11	10	13.0	76.92307692307693
NM_000975	RPL11	10	13.0	76.92307692307693
NM_001008216	GALE	3	4.0	75.0
NM_000403	GALE	3	4.0	75.0
NM_001127621	GALE	3	4.0	75.0
NM_001166059	HMGCL	11	19.0	57.89473684210527
NM_000191	HMGCL	17	19.0	89.47368421052632
NM_000147	FUCA1	13	15.0	86.66666666666667
NM_198174	GRHL3	6	10.0	60.0
NM_001195010	GRHL3	7	10.0	70.0
NM_198173	GRHL3	7	10.0	70.0
NM_021180	GRHL3	7	10.0	70.0
NM_013943	CLIC4	1	1.0	100.0
NR_135792	RSRP1	1		
NR_135793	RSRP1	1		
NR_135791	RSRP1	1		
NR_135790	RSRP1	1		
NM_001282872	RHD	1	1.0	100.0
NM_016124	RHD	1	1.0	100.0
NM_001282870	RHD	1	1.0	100.0
NM_001282868	RHD	1	1.0	100.0
NM_001282867	RHD	1	1.0	100.0
NM_001282871	RHD	1	1.0	100.0
NM_001282869	RHD	1	1.0	100.0
NM_001127691	RHD	1	1.0	100.0
NM_138616	RHCE	1	1.0	100.0
NM_138617	RHCE	1	1.0	100.0
NM_001330430	RHCE	1	1.0	100.0
NM_020485	RHCE	1	1.0	100.0
NM_015627	LDLRAP1	10	12.0	83.33333333333334
NM_020451	SELENON	31	37.0	83.78378378378379
NM_206926	SELENON	30	37.0	81.08108108108108
NM_032513	SLC30A2	1	1.0	100.0
NM_001004434	SLC30A2	1	1.0	100.0
NM_001319959	DHDDS	3	4.0	75.0
NM_024887	DHDDS	3	4.0	75.0
NM_001243564	DHDDS	3	4.0	75.0
NM_001243565	DHDDS	3	4.0	75.0
NM_205861	DHDDS	3	4.0	75.0
NM_006015	ARID1A	28	30.0	93.33333333333333
NM_139135	ARID1A	28	30.0	93.33333333333333
NM_017837	PIGV	6	6.0	100.0
NM_001202554	PIGV	6	6.0	100.0
NM_021969	NR0B2	1	1.0	100.0
NM_152365	KDF1	1	1.0	100.0
NR_046474	SLC9A1	1	1.0	100.0
NM_003047	SLC9A1	1	1.0	100.0
NM_001297609	MAP3K6	1	1.0	100.0
NM_004672	MAP3K6	1	1.0	100.0
NM_173452	FCN3	1	1.0	100.0
NM_003665	FCN3	1	1.0	100.0
NM_001371928	AHDC1	45	45.0	100.0
NM_001029882	AHDC1	45	45.0	100.0
NM_203342	EPB41	5	5.0	100.0
NM_001166005	EPB41	5	5.0	100.0
NM_203343	EPB41	5	5.0	100.0
NM_004437	EPB41	5	5.0	100.0
NM_001166007	EPB41	5	5.0	100.0
NM_001166006	EPB41	5	5.0	100.0
NR_146213	MECR	1	1.0	100.0
NR_146215	MECR	1	1.0	100.0
NR_146212	MECR	1	1.0	100.0
NR_146214	MECR	1	1.0	100.0
NM_001349717	MECR	1	1.0	100.0
NM_016011	MECR	1	1.0	100.0
NM_001024732	MECR	1	1.0	100.0
NM_001349716	MECR	1	1.0	100.0
NM_001349715	MECR	1	1.0	100.0
NM_001349714	MECR	1	1.0	100.0
NM_001349712	MECR	1	1.0	100.0
NM_001349713	MECR	1	1.0	100.0
NM_001349711	MECR	1	1.0	100.0
NM_005704	PTPRU	2	2.0	100.0
NM_133177	PTPRU	2	2.0	100.0
NM_133178	PTPRU	2	2.0	100.0
NM_001195001	PTPRU	2	2.0	100.0
NM_014676	PUM1	3	3.0	100.0
NM_001020658	PUM1	3	3.0	100.0
NM_001364857	ADGRB2	1	1.0	100.0
NM_001294336	ADGRB2	1	1.0	100.0
NM_001294335	ADGRB2	1	1.0	100.0
NM_004964	HDAC1	1	1.0	100.0
NM_003680	YARS1	3	3.0	100.0
NR_134976	AK2	8	11.0	72.72727272727273
NM_001319142	AK2	7	11.0	63.63636363636363
NM_001199199	AK2	8	11.0	72.72727272727273
NM_013411	AK2	8	11.0	72.72727272727273
NM_001319141	AK2	8	11.0	72.72727272727273
NM_001319139	AK2	8	11.0	72.72727272727273
NM_001625	AK2	9	11.0	81.81818181818183
NM_001319140	AK2	9	11.0	81.81818181818183
NM_001319143	AK2	9	11.0	81.81818181818183
NM_153212	GJB4	5	5.0	100.0
NM_024009	GJB3	7	7.0	100.0
NM_001005752	GJB3	7	7.0	100.0
NM_017825	ADPRHL2	7	7.0	100.0
NM_001294347	COL8A2	2	2.0	100.0
NM_005202	COL8A2	2	2.0	100.0
NM_001270895	TRAPPC3	1	1.0	100.0
NM_001270894	TRAPPC3	1	1.0	100.0
NM_014408	TRAPPC3	1	1.0	100.0
NM_001270896	TRAPPC3	1	1.0	100.0
NM_156039	CSF3R	8	9.0	88.88888888888889
NM_172313	CSF3R	8	9.0	88.88888888888889
NM_000760	CSF3R	8	9.0	88.88888888888889
NM_024700	SNIP1	1	1.0	100.0
NM_012090	MACF1	7	7.0	100.0
NR_132414	TRIT1	1	3.0	33.33333333333333
NR_132413	TRIT1	1	3.0	33.33333333333333
NR_132412	TRIT1	1	3.0	33.33333333333333
NR_132409	TRIT1	1	3.0	33.33333333333333
NR_132410	TRIT1	1	3.0	33.33333333333333
NR_132408	TRIT1	1	3.0	33.33333333333333
NR_132407	TRIT1	1	3.0	33.33333333333333
NR_132406	TRIT1	3	3.0	100.0
NR_132405	TRIT1	3	3.0	100.0
NR_132403	TRIT1	3	3.0	100.0
NR_132404	TRIT1	3	3.0	100.0
NR_132402	TRIT1	3	3.0	100.0
NR_132401	TRIT1	3	3.0	100.0
NR_132415	TRIT1	3	3.0	100.0
NM_017646	TRIT1	3	3.0	100.0
NM_001312692	TRIT1	1	3.0	33.33333333333333
NM_001312691	TRIT1	3	3.0	100.0
NR_109896	MFSD2A	2	4.0	50.0
NM_001287808	MFSD2A	4	4.0	100.0
NM_001136493	MFSD2A	4	4.0	100.0
NM_032793	MFSD2A	4	4.0	100.0
NM_001349822	MFSD2A	3	4.0	75.0
NM_001349823	MFSD2A	4	4.0	100.0
NM_001287809	MFSD2A	4	4.0	100.0
NM_001349821	MFSD2A	4	4.0	100.0
NM_001142604	PPT1	32	64.0	50.0
NM_001363695	PPT1	45	64.0	70.3125
NM_000310	PPT1	48	64.0	75.0
NM_005857	ZMPSTE24	11	12.0	91.66666666666666
NM_001852	COL9A2	2	7.0	28.57142857142857
NM_004700	KCNQ4	22	22.0	100.0
NM_172163	KCNQ4	22	22.0	100.0
NM_001355226	CCDC30	1		
NM_001287507	PPCS	2	3.0	66.66666666666666
NM_001287506	PPCS	2	3.0	66.66666666666666
NM_001287511	PPCS	2	3.0	66.66666666666666
NM_001287510	PPCS	3	3.0	100.0
NM_001287508	PPCS	2	3.0	66.66666666666666
NM_001077447	PPCS	2	3.0	66.66666666666666
NM_001287509	PPCS	2	3.0	66.66666666666666
NM_024664	PPCS	3	3.0	100.0
NM_001185117	CLDN19	3	4.0	75.0
NM_148960	CLDN19	3	4.0	75.0
NM_001123395	CLDN19	3	4.0	75.0
NM_001146289	P3H1	17	24.0	70.83333333333334
NM_001243246	P3H1	17	24.0	70.83333333333334
NM_022356	P3H1	16	24.0	66.66666666666666
NM_199342	SVBP	2	2.0	100.0
NM_001017922	ERMAP	1	1.0	100.0
NM_018538	ERMAP	1	1.0	100.0
NM_006516	SLC2A1	88	97.0	90.72164948453609
NM_005373	MPL	20	23.0	86.95652173913044
NR_046117	ELOVL1	1	1.0	100.0
NM_001256401	ELOVL1	1	1.0	100.0
NM_001256399	ELOVL1	1	1.0	100.0
NM_001256402	ELOVL1	1	1.0	100.0
NM_022821	ELOVL1	1	1.0	100.0
NM_001365999	SZT2	23	25.0	92.0
NM_015284	SZT2	23	25.0	92.0
NR_046744	SZT2	2	25.0	8.0
NM_130440	PTPRF	1	1.0	100.0
NM_002840	PTPRF	1	1.0	100.0
NR_073021	ST3GAL3	1	2.0	50.0
NR_073018	ST3GAL3	1	2.0	50.0
NR_146867	ST3GAL3	2	2.0	100.0
NR_073016	ST3GAL3	2	2.0	100.0
NR_073023	ST3GAL3	2	2.0	100.0
NR_073020	ST3GAL3	2	2.0	100.0
NR_073017	ST3GAL3	2	2.0	100.0
NR_073019	ST3GAL3	2	2.0	100.0
NM_174965	ST3GAL3	1	2.0	50.0
NM_001270465	ST3GAL3	1	2.0	50.0
NM_001270466	ST3GAL3	1	2.0	50.0
NM_174963	ST3GAL3	2	2.0	100.0
NM_001350619	ST3GAL3	2	2.0	100.0
NM_174964	ST3GAL3	2	2.0	100.0
NM_001270463	ST3GAL3	1	2.0	50.0
NM_174968	ST3GAL3	2	2.0	100.0
NM_001363573	ST3GAL3	1	2.0	50.0
NM_001350621	ST3GAL3	2	2.0	100.0
NM_001350620	ST3GAL3	2	2.0	100.0
NM_006279	ST3GAL3	2	2.0	100.0
NM_001270459	ST3GAL3	2	2.0	100.0
NM_174966	ST3GAL3	1	2.0	50.0
NM_174967	ST3GAL3	1	2.0	50.0
NM_001270460	ST3GAL3	2	2.0	100.0
NM_174971	ST3GAL3	2	2.0	100.0
NM_174969	ST3GAL3	2	2.0	100.0
NM_001270461	ST3GAL3	1	2.0	50.0
NM_001270464	ST3GAL3	1	2.0	50.0
NM_174970	ST3GAL3	1	2.0	50.0
NM_001270462	ST3GAL3	1	2.0	50.0
NR_048548	SLC6A9	6	6.0	100.0
NM_001328630	SLC6A9	5	6.0	83.33333333333334
NM_001328626	SLC6A9	5	6.0	83.33333333333334
NM_001024845	SLC6A9	6	6.0	100.0
NM_001328629	SLC6A9	6	6.0	100.0
NM_001328628	SLC6A9	5	6.0	83.33333333333334
NM_001328627	SLC6A9	6	6.0	100.0
NM_001261380	SLC6A9	6	6.0	100.0
NM_006934	SLC6A9	6	6.0	100.0
NM_201649	SLC6A9	6	6.0	100.0
NM_001166292	PTCH2	2	3.0	66.66666666666666
NM_003738	PTCH2	2	3.0	66.66666666666666
NM_001261418	EIF2B3	1	1.0	100.0
NM_020365	EIF2B3	1	1.0	100.0
NM_001166588	EIF2B3	1	1.0	100.0
NR_158184	UROD	3	4.0	75.0
NR_036510	UROD	3	4.0	75.0
NR_158185	UROD	3	4.0	75.0
NM_000374	UROD	3	4.0	75.0
NR_146882	MUTYH	75	100.0	75.0
NR_146883	MUTYH	70	100.0	70.0
NM_001350651	MUTYH	71	100.0	71.0
NM_001293192	MUTYH	75	100.0	75.0
NM_001350650	MUTYH	71	100.0	71.0
NM_001048171	MUTYH	75	100.0	75.0
NM_001293190	MUTYH	75	100.0	75.0
NM_012222	MUTYH	76	100.0	76.0
NM_001128425	MUTYH	76	100.0	76.0
NM_001293196	MUTYH	74	100.0	74.0
NM_001048173	MUTYH	74	100.0	74.0
NM_001048172	MUTYH	74	100.0	74.0
NM_001048174	MUTYH	74	100.0	74.0
NM_001293191	MUTYH	75	100.0	75.0
NM_001293195	MUTYH	74	100.0	74.0
NM_025077	TOE1	14	11.0	127.27272727272727
NM_001330540	MMACHC	52	51.0	101.96078431372548
NM_015506	MMACHC	52	51.0	101.96078431372548
NM_001243766	POMGNT1	45	12.0	375.0
NM_017739	POMGNT1	46	12.0	383.33333333333337
NM_001290130	POMGNT1	42	12.0	350.0
NM_001290129	POMGNT1	42	12.0	350.0
NM_001370766	RAD54L	2	2.0	100.0
NM_001142548	RAD54L	2	2.0	100.0
NM_003579	RAD54L	2	2.0	100.0
NM_172225	DMBX1	1	1.0	100.0
NM_147192	DMBX1	1	1.0	100.0
NM_003035	STIL	8	12.0	66.66666666666666
NM_001048166	STIL	8	12.0	66.66666666666666
NM_001282939	STIL	8	12.0	66.66666666666666
NM_001282938	STIL	8	12.0	66.66666666666666
NM_001282937	STIL	8	12.0	66.66666666666666
NM_001282936	STIL	8	12.0	66.66666666666666
NM_012186	FOXE3	9	9.0	100.0
NM_001190818	ORC1	1	4.0	25.0
NM_001190819	ORC1	1	4.0	25.0
NM_004153	ORC1	1	4.0	25.0
NM_023077	COA7	4	5.0	80.0
NM_001330587	SCP2	1	2.0	50.0
NM_001007098	SCP2	1	2.0	50.0
NM_002979	SCP2	1	2.0	50.0
NM_001193600	SCP2	1	2.0	50.0
NM_001193599	SCP2	1	2.0	50.0
NM_001193617	SCP2	1	2.0	50.0
NM_000098	CPT2	55	57.0	96.49122807017544
NM_001330589	CPT2	52	57.0	91.22807017543859
NM_152268	PARS2	7	7.0	100.0
NM_014762	DHCR24	3	3.0	100.0
NM_057176	BSND	5	5.0	100.0
NR_110451	PCSK9	8	19.0	42.10526315789473
NM_174936	PCSK9	17	19.0	89.47368421052632
NM_000066	C8B	7	7.0	100.0
NM_001278544	C8B	7	7.0	100.0
NM_001278543	C8B	7	7.0	100.0
NM_002353	TACSTD2	7	7.0	100.0
NM_001085487	MYSM1	2	2.0	100.0
NM_001145511	NFIA	13	15.0	86.66666666666667
NM_001145512	NFIA	14	15.0	93.33333333333333
NM_001134673	NFIA	14	15.0	93.33333333333333
NM_005595	NFIA	14	15.0	93.33333333333333
NM_001367561	DOCK7	9	13.0	69.23076923076923
NM_001272001	DOCK7	9	13.0	69.23076923076923
NM_001272000	DOCK7	9	13.0	69.23076923076923
NM_033407	DOCK7	9	13.0	69.23076923076923
NM_001271999	DOCK7	9	13.0	69.23076923076923
NM_001330614	DOCK7	9	13.0	69.23076923076923
NM_001272002	DOCK7	3	13.0	23.076923076923077
NM_014495	ANGPTL3	6	7.0	85.71428571428571
NM_013339	ALG6	17	27.0	62.96296296296296
NM_002633	PGM1	8	9.0	88.88888888888889
NM_001172819	PGM1	7	9.0	77.77777777777779
NM_001172818	PGM1	7	9.0	77.77777777777779
NM_005012	ROR1	1	1.0	100.0
NM_001321856	JAK1	3	3.0	100.0
NM_001320923	JAK1	3	3.0	100.0
NM_001321852	JAK1	3	3.0	100.0
NM_001321854	JAK1	3	3.0	100.0
NM_001321853	JAK1	3	3.0	100.0
NM_001321857	JAK1	3	3.0	100.0
NM_002227	JAK1	3	3.0	100.0
NM_001321855	JAK1	3	3.0	100.0
NM_001256865	DNAJC6	5	6.0	83.33333333333334
NM_014787	DNAJC6	5	6.0	83.33333333333334
NM_001256864	DNAJC6	5	6.0	83.33333333333334
NM_002303	LEPR	7	8.0	87.5
NM_001003679	LEPR	5	8.0	62.5
NM_001003680	LEPR	5	8.0	62.5
NM_001198687	LEPR	5	8.0	62.5
NM_001198689	LEPR	5	8.0	62.5
NM_001198688	LEPR	5	8.0	62.5
NM_015139	SLC35D1	3	5.0	60.0
NM_000329	RPE65	20	26.0	76.92307692307693
NM_153742	CTH	1	1.0	100.0
NM_001190463	CTH	1	1.0	100.0
NM_001902	CTH	1	1.0	100.0
NM_001112808	FPGT	1		
NM_015978	TNNI3K	1	2.0	50.0
NM_001127328	ACADM	50	74.0	67.56756756756756
NM_001286043	ACADM	50	74.0	67.56756756756756
NM_000016	ACADM	50	74.0	67.56756756756756
NM_001286042	ACADM	48	74.0	64.86486486486487
NM_001286044	ACADM	38	74.0	51.35135135135135
NM_144573	NEXN	4	4.0	100.0
NM_001172309	NEXN	4	4.0	100.0
NM_001320715	BCL10	13	15.0	86.66666666666667
NM_003921	BCL10	13	15.0	86.66666666666667
NM_032186	ZNF644	1	1.0	100.0
NM_016620	ZNF644	1	1.0	100.0
NM_201269	ZNF644	1	1.0	100.0
NM_001017975	HFM1	2	3.0	66.66666666666666
NM_001242810	BRDT	1	1.0	100.0
NM_001242805	BRDT	1	1.0	100.0
NM_001242806	BRDT	1	1.0	100.0
NM_207189	BRDT	1	1.0	100.0
NM_001242808	BRDT	1	1.0	100.0
NM_001242807	BRDT	1	1.0	100.0
NM_001726	BRDT	1	1.0	100.0
NR_135089	GLMN	8	10.0	80.0
NM_001319683	GLMN	8	10.0	80.0
NM_053274	GLMN	8	10.0	80.0
NR_146333	RPL5	15	21.0	71.42857142857143
NM_000969	RPL5	17	21.0	80.95238095238095
NM_000350	ABCA4	198	248.0	79.83870967741935
NM_001328665	ARHGAP29	1	4.0	25.0
NM_001328664	ARHGAP29	1	4.0	25.0
NM_001328667	ARHGAP29	1	4.0	25.0
NM_001328666	ARHGAP29	1	4.0	25.0
NM_004815	ARHGAP29	1	4.0	25.0
NR_131032	ALG14	1	1.0	100.0
NM_144988	ALG14	1	1.0	100.0
NM_001305242	ALG14	1	1.0	100.0
NM_000110	DPYD	34	51.0	66.66666666666666
NM_001160301	DPYD	3	51.0	5.88235294117647
NR_046590	DPYD	1	51.0	1.9607843137254901
NM_000642	AGL	94	130.0	72.3076923076923
NM_000028	AGL	94	130.0	72.3076923076923
NM_000643	AGL	94	130.0	72.3076923076923
NM_000644	AGL	94	130.0	72.3076923076923
NM_000646	AGL	94	130.0	72.3076923076923
NM_012243	SLC35A3	4	4.0	100.0
NM_001271684	SLC35A3	1	4.0	25.0
NM_001271685	SLC35A3	4	4.0	100.0
NM_001304829	SASS6	1	1.0	100.0
NM_194292	SASS6	1	1.0	100.0
NM_001918	DBT	23	33.0	69.6969696969697
NM_001319211	CDC14A	9	10.0	90.0
NM_033312	CDC14A	9	10.0	90.0
NM_001319212	CDC14A	9	10.0	90.0
NM_033313	CDC14A	8	10.0	80.0
NM_001319210	CDC14A	9	10.0	90.0
NM_003672	CDC14A	9	10.0	90.0
NM_022049	GPR88	1	1.0	100.0
NM_133496	SLC30A7	1	1.0	100.0
NM_001144884	SLC30A7	1	1.0	100.0
NR_134980	COL11A1	20	36.0	55.55555555555556
NM_001190709	COL11A1	19	36.0	52.77777777777778
NM_080629	COL11A1	19	36.0	52.77777777777778
NM_080630	COL11A1	19	36.0	52.77777777777778
NM_001854	COL11A1	20	36.0	55.55555555555556
NM_017619	RNPC3	2	2.0	100.0
NM_013386	SLC25A24	3	3.0	100.0
NM_213651	SLC25A24	3	3.0	100.0
NM_013296	GPSM2	12	14.0	85.71428571428571
NM_001321038	GPSM2	12	14.0	85.71428571428571
NM_001321039	GPSM2	12	14.0	85.71428571428571
NM_005645	TAF13	2	2.0	100.0
NM_001330669	SARS1	2	2.0	100.0
NM_006513	SARS1	2	2.0	100.0
NM_001408	CELSR2	2	2.0	100.0
NM_006496	GNAI3	2	2.0	100.0
NM_005272	GNAT2	12	16.0	75.0
NM_139156	AMPD2	11	12.0	91.66666666666666
NM_001368809	AMPD2	11	12.0	91.66666666666666
NM_001308170	AMPD2	9	12.0	75.0
NM_004037	AMPD2	11	12.0	91.66666666666666
NM_001257361	AMPD2	11	12.0	91.66666666666666
NM_006492	ALX3	3	4.0	75.0
NM_001204269	KCNA2	1	11.0	9.090909090909092
NM_004974	KCNA2	11	11.0	100.0
NR_146302	DRAM2	4	5.0	80.0
NR_146301	DRAM2	5	5.0	100.0
NR_146306	DRAM2	4	5.0	80.0
NR_146305	DRAM2	4	5.0	80.0
NR_146308	DRAM2	5	5.0	100.0
NR_146304	DRAM2	4	5.0	80.0
NR_146307	DRAM2	4	5.0	80.0
NR_146303	DRAM2	5	5.0	100.0
NM_001349885	DRAM2	5	5.0	100.0
NM_001349889	DRAM2	4	5.0	80.0
NM_001349887	DRAM2	4	5.0	80.0
NM_178454	DRAM2	5	5.0	100.0
