#hg19.refGene.name	hg19.knownToEnsembl.value
NM_001330441	n/a
NM_024674	ENST00000326279,
NM_002953	ENST00000374168
NM_031286	ENST00000270792
NM_001201404	ENST00000430629
NR_037577	ENST00000374076
NM_032125	ENST00000374076
NM_001371928	n/a
NR_037576	ENST00000464720
NM_001029882	ENST00000374011,
NM_006990	ENST00000430629
NR_037580	ENST00000464720
NR_030726	n/a
NM_001350158	n/a
NR_002909	n/a
NM_001048199	ENST00000398958
NM_005644	ENST00000373824,
NM_001135218	ENST00000263974
NM_001350160	n/a
NM_001350159	n/a
NM_001350161	n/a
NR_036473	ENST00000413987
NM_001048183	ENST00000463428,ENST00000373839,
NR_030725	n/a
NM_133178	ENST00000373779
NM_005626	ENST00000373795,ENST00000605204,
NM_001195001	ENST00000373779
NM_133177	ENST00000373779
NM_005704	ENST00000373779
NR_034182	ENST00000454613
NM_002379	ENST00000373765
NM_001369860	n/a
NM_001369859	n/a
NM_001369858	n/a
NM_001195100	ENST00000344035
NM_080391	ENST00000344035
NM_001195101	ENST00000344035
NM_001127361	ENST00000356990,ENST00000373456,
NM_001300826	n/a
NM_001256121	ENST00000373475
NR_135106	n/a
NR_135107	n/a
NM_004964	ENST00000373548,ENST00000476391,
NM_012316	ENST00000373625,
NM_022753	ENST00000356689,ENST00000373475,
NM_001291496	n/a
NM_001161708	ENST00000373484
NM_153341	ENST00000373456
NR_111980	n/a
NM_030786	ENST00000373484
NM_001040441	ENST00000373510
NR_038372	ENST00000425631
NM_001330488	n/a
NM_145238	ENST00000373413,ENST00000361328,
NR_125978	n/a
NM_198040	ENST00000257118,ENST00000431992,ENST00000257118,ENST00000373416,
NM_001080418	ENST00000235180
NM_177422	ENST00000373191
NM_001350138	n/a
NM_017629	ENST00000373210
NM_024874	ENST00000325722,ENST00000485551,ENST00000325722,
NM_005095	ENST00000314607
NM_001350140	n/a
NM_001350139	n/a
NM_024852	ENST00000373191
NM_005202	ENST00000303143
NM_001294347	n/a
NM_178548	ENST00000373235
NR_146062	n/a
NM_001282547	n/a
NM_001282546	n/a
NM_000831	ENST00000373091,ENST00000373093,
NM_032017	ENST00000373129,ENST00000373130,ENST00000373132,
NR_158628	n/a
NM_001365821	n/a
NR_158629	n/a
NM_024640	ENST00000373044
NM_001365822	n/a
NM_001350228	n/a
NM_005540	ENST00000373027,ENST00000373023,
NM_001365824	n/a
NM_024700	ENST00000296215
NM_001365823	n/a
NM_001365825	n/a
NR_158630	n/a
NM_001365820	n/a
NM_022157	ENST00000373001,
NM_001271851	ENST00000373001
NM_001720	ENST00000372827,ENST00000397360,
NM_181809	ENST00000331593
NM_012421	ENST00000372771,
NR_024567	ENST00000606277
NR_135092	n/a
NM_001031694	ENST00000326197,ENST00000402904,
NM_172163	ENST00000347132
NM_001172218	ENST00000372596
NM_004700	ENST00000347132
NM_001172222	ENST00000456518
NM_001172221	ENST00000372595
NM_001172219	ENST00000372596
NM_001350667	n/a
NM_001350668	n/a
NM_001172220	ENST00000372597
NM_012236	ENST00000372597
NM_001198852	ENST00000361776
NR_038261	ENST00000489103
NM_173642	ENST00000431473
NR_038260	n/a
NM_001198851	ENST00000372572
NM_014947	ENST00000361346
NM_001198850	ENST00000372573
NM_001127714	ENST00000372584
NM_024503	ENST00000372584
NM_001167965	ENST00000528956
NM_152498	ENST00000528956
NM_001195831	ENST00000372492
NM_001365999	n/a
NM_001354602	n/a
NM_005424	ENST00000372476,
NM_001253357	ENST00000372476,
NM_015284	ENST00000562955,
NR_033827	ENST00000439057
NM_001301699	n/a
NM_001301700	n/a
NM_001301701	n/a
NR_110056	n/a
NM_001270466	ENST00000361400
NR_073023	ENST00000361392
NM_001363573	n/a
NR_073020	n/a
NM_174964	ENST00000262915
NM_174970	ENST00000361400
NM_174969	ENST00000361400
NM_001270459	ENST00000361392
NM_024066	ENST00000372257
NM_006279	ENST00000361392
NM_014652	ENST00000372343
NM_001350621	n/a
NM_001350620	n/a
NM_001350619	n/a
NM_174968	ENST00000372375
NM_174967	ENST00000361392
NM_001301698	n/a
NM_174966	ENST00000361392
NR_073018	ENST00000361392
NR_073021	ENST00000361392
NM_174971	ENST00000351035
NR_073019	ENST00000361400
NM_001270465	ENST00000262915,ENST00000361392,
NM_001270460	ENST00000361392
NR_073017	ENST00000361400
NM_001270461	ENST00000361400
NM_001270464	ENST00000361400,
NM_174965	ENST00000545417
NM_001270463	ENST00000262915
NM_001270462	ENST00000361400
NM_174963	ENST00000262915
NR_146867	n/a
NR_073016	n/a
NM_020883	ENST00000359600
NM_007170	ENST00000341771,ENST00000372086,
NM_006845	ENST00000372224,ENST00000372217,
NM_020365	ENST00000360403
NM_001320800	n/a
NM_001261418	ENST00000360403
NM_001166588	ENST00000372183
NM_001297657	n/a
NM_001297655	n/a
NM_001297656	n/a
NM_001243766	ENST00000371992
NM_003684	ENST00000371946
NR_024176	ENST00000341183
NM_001303427	n/a
NM_001290130	n/a
NM_198973	ENST00000341183,ENST00000545730,
NM_015112	ENST00000372008,ENST00000361297,
NM_001319245	n/a
NM_003629	ENST00000372006,ENST00000262741,ENST00000372006,
NM_017739	ENST00000535522,ENST00000371984,
NR_137329	n/a
NM_001324321	n/a
NM_001303428	n/a
NM_001114172	ENST00000420542
NR_024174	ENST00000341183
NM_001303429	n/a
NM_001135553	ENST00000341183
NM_001328650	n/a
NM_001328648	n/a
NM_001328649	n/a
NM_001328653	n/a
NM_001328652	n/a
NM_001328651	n/a
NM_001328654	n/a
NM_001290129	n/a
NM_001324320	n/a
NR_146512	n/a
NM_001366135	n/a
NR_002788	ENST00000505841
NR_046394	ENST00000371873
NM_178134	ENST00000334194
NM_001136140	ENST00000371873
NM_001320289	n/a
NM_016308	ENST00000371873
NR_026749	ENST00000401057
NM_001286239	n/a
NM_001286238	n/a
NM_019073	ENST00000371847,
NM_001144774	ENST00000371819,ENST00000371824,ENST00000371819,
NM_001144775	ENST00000448907
NM_001144777	ENST00000448907
NM_001324208	n/a
NR_136725	n/a
NM_001324215	n/a
NM_001324214	n/a
NM_001324209	n/a
NM_001294348	n/a
NM_021952	ENST00000371824
NM_001144776	ENST00000371827
NM_001324217	n/a
NM_001324216	n/a
NM_001324213	n/a
NM_001324212	n/a
NM_148906	ENST00000371710
NM_148908	ENST00000337809
NM_001144832	ENST00000413473
NM_002525	ENST00000354831
NM_001297665	n/a
NM_001242361	ENST00000539524
NM_001297664	n/a
NM_001350208	n/a
NM_001297663	n/a
NM_001981	ENST00000371733,
NM_001080494	ENST00000530004,ENST00000447632,ENST00000413473,ENST00000371747,
NR_161259	n/a
NM_001297662	n/a
NM_001101662	ENST00000539524,ENST00000352171,
NM_001350209	n/a
NM_148909	ENST00000337809
NM_024586	ENST00000371710
NR_036662	n/a
NM_032449	ENST00000284376,ENST00000371586,
NM_024646	ENST00000545132,ENST00000294353,
NM_001307931	n/a
NM_007324	ENST00000361625,ENST00000287727,
NM_004799	ENST00000287727
NM_001330585	n/a
NM_001009881	ENST00000371544
NM_001004339	ENST00000371528
NM_015269	ENST00000371541,ENST00000371544,
NR_133633	n/a
NM_016126	ENST00000194214,ENST00000371377,
NR_133632	n/a
NM_017522	ENST00000306052
NR_033142	ENST00000371429
NM_033300	ENST00000459674,ENST00000306052,
NM_001367484	n/a
NM_018087	ENST00000371429
NM_004631	ENST00000306052
NM_001316935	n/a
NM_001168551	ENST00000371429
NM_001018054	ENST00000306052,
NM_147193	ENST00000312233
NM_001353356	n/a
NR_037639	n/a
NR_037640	n/a
NR_037641	ENST00000425300
NM_015547	ENST00000371316
NM_147161	ENST00000498228,ENST00000343744,
NM_145716	ENST00000326956
NM_018070	ENST00000326956
NM_001353353	n/a
NM_001353354	n/a
NM_001009955	ENST00000326956
NM_001031672	ENST00000490863
NR_148414	n/a
NM_000066	ENST00000371237,ENST00000543257,
NM_001278544	n/a
NM_001004303	ENST00000343433,ENST00000484327,
NM_006252	ENST00000371244
NM_001278543	n/a
NM_003713	ENST00000371250
NR_104362	n/a
NR_104363	n/a
NR_104364	n/a
NR_104365	n/a
NR_110626	n/a
NM_145243	ENST00000358603,ENST00000371226,ENST00000358603,
NM_015888	ENST00000371208,
NM_001350790	n/a
NM_001350791	n/a
NM_001350792	n/a
NM_001350799	n/a
NM_001278224	ENST00000303721
NM_001350794	n/a
NM_001244714	ENST00000371212
NR_146508	n/a
NR_110628	n/a
NM_001320269	n/a
NM_001350145	n/a
NM_181712	ENST00000371150,ENST00000371153,
NM_176877	ENST00000316485,ENST00000459752,ENST00000484562,ENST00000371158,
NR_038252	ENST00000455304
NM_033407	ENST00000251157
NM_001272000	ENST00000454575,ENST00000251157,
NM_001330614	n/a
NM_001271999	ENST00000251157,
NM_032852	ENST00000317868
NM_001367561	n/a
NM_001272001	ENST00000251157
NM_178221	ENST00000371120
NM_001083592	ENST00000371080
NM_002633	ENST00000371084
NM_001172819	ENST00000540265
NM_005012	ENST00000371079
NM_001172818	ENST00000371083
NM_001321855	n/a
NM_001321852	n/a
NM_001321853	n/a
NM_002227	ENST00000342505,
NM_001321857	n/a
NM_001320923	n/a
NM_001256864	ENST00000395325
NM_001366165	n/a
NM_001321854	n/a
NM_001256865	ENST00000263441,ENST00000395325,
NM_001321856	n/a
NM_013410	ENST00000327299
NM_014787	ENST00000395325
NM_018211	ENST00000371072,ENST00000294428,ENST00000371072,
NM_001005353	ENST00000395334
NM_203464	ENST00000545314,
NM_001330616	n/a
NM_001297440	n/a
NM_001297441	n/a
NM_002600	ENST00000329654
NM_001037340	ENST00000423207
NM_001037341	ENST00000329654
NM_152665	ENST00000282670
NM_015640	ENST00000370994
NM_015139	ENST00000506472,ENST00000235345,
NM_001018069	ENST00000370994
NM_207014	ENST00000491297,ENST00000371023,
NM_001018068	ENST00000370994
NM_001018067	ENST00000370994
NM_144701	ENST00000347310,ENST00000395227,
NM_024763	ENST00000371026,
NR_040077	ENST00000420587
NM_001193334	ENST00000262348
NM_018841	ENST00000370982
NM_001114120	ENST00000456315
NM_017779	ENST00000456315,ENST00000370966,
NM_024911	ENST00000262348
NM_001002292	ENST00000262348,ENST00000540432,
NR_146608	n/a
NR_023916	ENST00000412108
NM_017768	ENST00000370952
NM_030816	ENST00000370944,
