gene	tx_id	gene_recovery	transcript_recovery	tx_perc_recovery	tx_rank
MTHFR	NM_005957	112.0	56.0	50.0	1.0
MTHFR	NM_001330358	112.0	56.0	50.0	1.0
NPPA	NM_006172	2.0	2.0	100.0	1.0
PLOD1	NM_001316320	34.0	17.0	50.0	1.0
PLOD1	NM_000302	34.0	17.0	50.0	1.0
MFN2	NM_014874	128.0	64.0	50.0	1.0
MFN2	NM_001127660	128.0	64.0	50.0	1.0
VPS13D	NM_015378	14.0	7.0	50.0	1.0
VPS13D	NM_018156	14.0	7.0	50.0	1.0
CTRC	NM_007272	5.0	5.0	100.0	1.0
CELA2A	NM_033440	3.0	3.0	100.0	1.0
CLCNKA	NM_004070	8.0	3.0	37.5	1.0
CLCNKA	NM_001042704	8.0	3.0	37.5	1.0
CLCNKB	NM_000085	26.0	15.0	57.692307692307686	1.0
EPHA2	NM_001329090	10.0	5.0	50.0	1.0
EPHA2	NM_004431	10.0	5.0	50.0	1.0
ATP13A2	NM_001141973	50.0	17.0	34.0	1.0
ATP13A2	NM_022089	50.0	17.0	34.0	1.0
SDHB	NM_003000	107.0	107.0	100.0	1.0
PADI3	NM_016233	8.0	8.0	100.0	1.0
PADI6	NM_207421	4.0	4.0	100.0	1.0
ARHGEF10L	NM_018125	7.0	1.0	14.285714285714285	1.0
ARHGEF10L	NR_137287	7.0	1.0	14.285714285714285	1.0
ARHGEF10L	NR_137288	7.0	1.0	14.285714285714285	1.0
ARHGEF10L	NM_001011722	7.0	1.0	14.285714285714285	1.0
ARHGEF10L	NM_001319837	7.0	1.0	14.285714285714285	1.0
ARHGEF10L	NM_001319838	7.0	1.0	14.285714285714285	1.0
ARHGEF10L	NM_001328124	7.0	1.0	14.285714285714285	1.0
PAX7	NM_001135254	9.0	3.0	33.33333333333333	1.0
PAX7	NM_002584	9.0	3.0	33.33333333333333	1.0
PAX7	NM_013945	9.0	3.0	33.33333333333333	1.0
ALDH4A1	NM_001319218	11.0	3.0	27.27272727272727	1.0
ALDH4A1	NM_170726	11.0	3.0	27.27272727272727	1.0
ALDH4A1	NM_003748	11.0	3.0	27.27272727272727	1.0
UBR4	NM_020765	5.0	5.0	100.0	1.0
EMC1	NM_001271429	28.0	7.0	25.0	1.0
EMC1	NM_001271427	28.0	7.0	25.0	1.0
EMC1	NM_001271428	28.0	7.0	25.0	1.0
EMC1	NM_015047	28.0	7.0	25.0	1.0
PLA2G2A	NM_001161728	4.0	1.0	25.0	1.0
PLA2G2A	NM_001161727	4.0	1.0	25.0	1.0
PLA2G2A	NM_000300	4.0	1.0	25.0	1.0
PLA2G2A	NM_001161729	4.0	1.0	25.0	1.0
PINK1	NM_032409	26.0	19.0	73.07692307692307	1.0
DDOST	NM_005216	3.0	3.0	100.0	1.0
ECE1	NM_001113348	12.0	3.0	25.0	1.0
ECE1	NM_001397	12.0	3.0	25.0	1.0
ECE1	NM_001113349	12.0	3.0	25.0	1.0
ECE1	NM_001113347	12.0	3.0	25.0	1.0
ALPL	NM_000478	196.0	68.0	34.69387755102041	1.0
HSPG2	NM_005529	10.0	5.0	50.0	1.0
HSPG2	NM_001291860	10.0	5.0	50.0	1.0
CDC42	NM_001039802	26.0	9.0	34.61538461538461	1.0
CDC42	NM_001791	26.0	9.0	34.61538461538461	1.0
WNT4	NM_030761	4.0	4.0	100.0	1.0
C1QA	NM_001347465	9.0	3.0	33.33333333333333	1.0
C1QA	NM_015991	9.0	3.0	33.33333333333333	1.0
C1QA	NM_001347466	9.0	3.0	33.33333333333333	1.0
C1QC	NM_001347619	15.0	4.0	26.666666666666668	1.0
C1QC	NM_001114101	15.0	4.0	26.666666666666668	1.0
C1QC	NM_172369	15.0	4.0	26.666666666666668	1.0
C1QB	NM_000491	2.0	2.0	100.0	1.0
EPHB2	NM_004442	20.0	5.0	25.0	1.0
EPHB2	NM_017449	20.0	5.0	25.0	1.0
EPHB2	NM_001309193	20.0	5.0	25.0	1.0
EPHB2	NM_001309192	20.0	5.0	25.0	1.0
KDM1A	NM_001009999	10.0	5.0	50.0	1.0
KDM1A	NM_015013	10.0	5.0	50.0	1.0
HNRNPR	NM_001297622	7.0	1.0	14.285714285714285	1.0
HNRNPR	NM_001297621	7.0	1.0	14.285714285714285	1.0
HNRNPR	NM_001102397	7.0	1.0	14.285714285714285	1.0
HNRNPR	NM_001102399	7.0	1.0	14.285714285714285	1.0
HNRNPR	NM_001297620	7.0	1.0	14.285714285714285	1.0
HNRNPR	NM_005826	7.0	1.0	14.285714285714285	1.0
HNRNPR	NM_001102398	7.0	1.0	14.285714285714285	1.0
RPL11	NM_000975	20.0	10.0	50.0	1.0
RPL11	NM_001199802	20.0	10.0	50.0	1.0
GALE	NM_001008216	33.0	11.0	33.33333333333333	1.0
GALE	NM_000403	33.0	11.0	33.33333333333333	1.0
GALE	NM_001127621	33.0	11.0	33.33333333333333	1.0
HMGCL	NM_000191	32.0	19.0	59.375	1.0
FUCA1	NM_000147	15.0	15.0	100.0	1.0
GRHL3	NM_198173	35.0	9.0	25.71428571428571	1.0
GRHL3	NM_001195010	35.0	9.0	25.71428571428571	1.0
GRHL3	NM_021180	35.0	9.0	25.71428571428571	1.0
CLIC4	NM_013943	1.0	1.0	100.0	1.0
RSRP1	NR_135792	4.0	1.0	25.0	1.0
RSRP1	NR_135793	4.0	1.0	25.0	1.0
RSRP1	NR_135791	4.0	1.0	25.0	1.0
RSRP1	NR_135790	4.0	1.0	25.0	1.0
RHD	NM_001282872	16.0	2.0	12.5	1.0
RHD	NM_001282871	16.0	2.0	12.5	1.0
RHD	NM_016124	16.0	2.0	12.5	1.0
RHD	NM_001282870	16.0	2.0	12.5	1.0
RHD	NM_001282869	16.0	2.0	12.5	1.0
RHD	NM_001282868	16.0	2.0	12.5	1.0
RHD	NM_001127691	16.0	2.0	12.5	1.0
RHD	NM_001282867	16.0	2.0	12.5	1.0
RHCE	NM_138616	4.0	1.0	25.0	1.0
RHCE	NM_138617	4.0	1.0	25.0	1.0
RHCE	NM_001330430	4.0	1.0	25.0	1.0
RHCE	NM_020485	4.0	1.0	25.0	1.0
LDLRAP1	NM_015627	10.0	10.0	100.0	1.0
SELENON	NM_020451	69.0	35.0	50.72463768115942	1.0
SLC30A2	NM_032513	4.0	2.0	50.0	1.0
SLC30A2	NM_001004434	4.0	2.0	50.0	1.0
DHDDS	NM_001319959	20.0	4.0	20.0	1.0
DHDDS	NM_024887	20.0	4.0	20.0	1.0
DHDDS	NM_205861	20.0	4.0	20.0	1.0
DHDDS	NM_001243564	20.0	4.0	20.0	1.0
DHDDS	NM_001243565	20.0	4.0	20.0	1.0
ARID1A	NM_006015	56.0	28.0	50.0	1.0
ARID1A	NM_139135	56.0	28.0	50.0	1.0
PIGV	NM_017837	18.0	9.0	50.0	1.0
PIGV	NM_001202554	18.0	9.0	50.0	1.0
NR0B2	NM_021969	2.0	2.0	100.0	1.0
KDF1	NM_152365	1.0	1.0	100.0	1.0
SLC9A1	NR_046474	4.0	2.0	50.0	1.0
SLC9A1	NM_003047	4.0	2.0	50.0	1.0
MAP3K6	NM_001297609	2.0	1.0	50.0	1.0
MAP3K6	NM_004672	2.0	1.0	50.0	1.0
FCN3	NM_173452	2.0	1.0	50.0	1.0
FCN3	NM_003665	2.0	1.0	50.0	1.0
AHDC1	NM_001029882	45.0	45.0	100.0	1.0
EPB41	NM_203342	30.0	5.0	16.666666666666664	1.0
EPB41	NM_001166005	30.0	5.0	16.666666666666664	1.0
EPB41	NM_203343	30.0	5.0	16.666666666666664	1.0
EPB41	NM_004437	30.0	5.0	16.666666666666664	1.0
EPB41	NM_001166007	30.0	5.0	16.666666666666664	1.0
EPB41	NM_001166006	30.0	5.0	16.666666666666664	1.0
MECR	NM_016011	2.0	1.0	50.0	1.0
MECR	NM_001024732	2.0	1.0	50.0	1.0
PTPRU	NM_005704	8.0	2.0	25.0	1.0
PTPRU	NM_133177	8.0	2.0	25.0	1.0
PTPRU	NM_133178	8.0	2.0	25.0	1.0
PTPRU	NM_001195001	8.0	2.0	25.0	1.0
PUM1	NM_014676	6.0	3.0	50.0	1.0
PUM1	NM_001020658	6.0	3.0	50.0	1.0
ADGRB2	NM_001294336	2.0	1.0	50.0	1.0
ADGRB2	NM_001294335	2.0	1.0	50.0	1.0
LCK	NM_005356	3.0	1.0	33.33333333333333	1.0
LCK	NM_001330468	3.0	1.0	33.33333333333333	1.0
LCK	NM_001042771	3.0	1.0	33.33333333333333	1.0
HDAC1	NM_004964	1.0	1.0	100.0	1.0
YARS	NM_003680	4.0	4.0	100.0	1.0
HPCA	NM_002143	3.0	3.0	100.0	1.0
AK2	NM_001625	92.0	11.0	11.956521739130435	1.0
AK2	NM_001319140	92.0	11.0	11.956521739130435	1.0
AK2	NM_001319143	92.0	11.0	11.956521739130435	1.0
GJB4	NM_153212	7.0	7.0	100.0	1.0
GJB3	NM_024009	24.0	12.0	50.0	1.0
GJB3	NM_001005752	24.0	12.0	50.0	1.0
ADPRHL2	NM_017825	7.0	7.0	100.0	1.0
COL8A2	NM_001294347	6.0	3.0	50.0	1.0
COL8A2	NM_005202	6.0	3.0	50.0	1.0
TRAPPC3	NM_001270895	4.0	1.0	25.0	1.0
TRAPPC3	NM_014408	4.0	1.0	25.0	1.0
TRAPPC3	NM_001270894	4.0	1.0	25.0	1.0
TRAPPC3	NM_001270896	4.0	1.0	25.0	1.0
CSF3R	NM_172313	30.0	10.0	33.33333333333333	1.0
CSF3R	NM_000760	30.0	10.0	33.33333333333333	1.0
CSF3R	NM_156039	30.0	10.0	33.33333333333333	1.0
SNIP1	NM_024700	2.0	2.0	100.0	1.0
INPP5B	NM_005540	1.0	1.0	100.0	1.0
MACF1	NM_012090	7.0	7.0	100.0	1.0
TRIT1	NR_132406	35.0	3.0	8.571428571428571	1.0
TRIT1	NR_132405	35.0	3.0	8.571428571428571	1.0
TRIT1	NR_132403	35.0	3.0	8.571428571428571	1.0
TRIT1	NR_132404	35.0	3.0	8.571428571428571	1.0
TRIT1	NR_132402	35.0	3.0	8.571428571428571	1.0
TRIT1	NR_132401	35.0	3.0	8.571428571428571	1.0
TRIT1	NM_001312691	35.0	3.0	8.571428571428571	1.0
TRIT1	NM_017646	35.0	3.0	8.571428571428571	1.0
TRIT1	NR_132415	35.0	3.0	8.571428571428571	1.0
MFSD2A	NM_001136493	18.0	4.0	22.22222222222222	1.0
MFSD2A	NM_032793	18.0	4.0	22.22222222222222	1.0
MFSD2A	NM_001287809	18.0	4.0	22.22222222222222	1.0
MFSD2A	NM_001287808	18.0	4.0	22.22222222222222	1.0
PPT1	NM_000310	112.0	67.0	59.82142857142857	1.0
ZMPSTE24	NM_005857	13.0	13.0	100.0	1.0
COL9A2	NM_001852	3.0	3.0	100.0	1.0
KCNQ4	NM_004700	56.0	28.0	50.0	1.0
KCNQ4	NM_172163	56.0	28.0	50.0	1.0
PPCS	NM_001287510	18.0	3.0	16.666666666666664	1.0
PPCS	NM_024664	18.0	3.0	16.666666666666664	1.0
CLDN19	NM_001185117	21.0	7.0	33.33333333333333	1.0
CLDN19	NM_148960	21.0	7.0	33.33333333333333	1.0
CLDN19	NM_001123395	21.0	7.0	33.33333333333333	1.0
P3H1	NM_001146289	50.0	17.0	34.0	1.0
P3H1	NM_001243246	50.0	17.0	34.0	1.0
SVBP	NM_199342	2.0	2.0	100.0	1.0
ERMAP	NM_001017922	2.0	1.0	50.0	1.0
ERMAP	NM_018538	2.0	1.0	50.0	1.0
SLC2A1	NM_006516	102.0	102.0	100.0	1.0
MPL	NM_005373	23.0	23.0	100.0	1.0
ELOVL1	NM_001256402	5.0	1.0	20.0	1.0
ELOVL1	NM_001256401	5.0	1.0	20.0	1.0
ELOVL1	NR_046117	5.0	1.0	20.0	1.0
ELOVL1	NM_022821	5.0	1.0	20.0	1.0
ELOVL1	NM_001256399	5.0	1.0	20.0	1.0
SZT2	NM_015284	22.0	22.0	100.0	1.0
PTPRF	NM_002840	2.0	1.0	50.0	1.0
PTPRF	NM_130440	2.0	1.0	50.0	1.0
ST3GAL3	NM_174963	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NM_174964	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NM_174968	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NR_073016	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NM_006279	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NM_001270459	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NR_073023	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NM_001270460	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NM_174971	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NM_174969	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NR_073020	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NR_073017	63.0	3.0	4.761904761904762	1.0
ST3GAL3	NR_073019	63.0	3.0	4.761904761904762	1.0
SLC6A9	NM_001024845	57.0	6.0	10.526315789473683	1.0
SLC6A9	NM_001328629	57.0	6.0	10.526315789473683	1.0
SLC6A9	NM_001328627	57.0	6.0	10.526315789473683	1.0
SLC6A9	NM_001261380	57.0	6.0	10.526315789473683	1.0
SLC6A9	NR_048548	57.0	6.0	10.526315789473683	1.0
SLC6A9	NM_006934	57.0	6.0	10.526315789473683	1.0
SLC6A9	NM_201649	57.0	6.0	10.526315789473683	1.0
PTCH2	NM_001166292	4.0	2.0	50.0	1.0
PTCH2	NM_003738	4.0	2.0	50.0	1.0
EIF2B3	NM_001261418	15.0	5.0	33.33333333333333	1.0
EIF2B3	NM_020365	15.0	5.0	33.33333333333333	1.0
EIF2B3	NM_001166588	15.0	5.0	33.33333333333333	1.0
UROD	NR_036510	26.0	13.0	50.0	1.0
UROD	NM_000374	26.0	13.0	50.0	1.0
MUTYH	NM_012222	827.0	77.0	9.310761789600967	1.0
MUTYH	NM_001128425	827.0	77.0	9.310761789600967	1.0
TOE1	NM_025077	14.0	14.0	100.0	1.0
MMACHC	NM_001330540	98.0	49.0	50.0	1.0
MMACHC	NM_015506	98.0	49.0	50.0	1.0
POMGNT1	NM_017739	230.0	60.0	26.08695652173913	1.0
RAD54L	NM_003579	10.0	5.0	50.0	1.0
RAD54L	NM_001142548	10.0	5.0	50.0	1.0
DMBX1	NM_172225	2.0	1.0	50.0	1.0
DMBX1	NM_147192	2.0	1.0	50.0	1.0
STIL	NM_003035	54.0	9.0	16.666666666666664	1.0
STIL	NM_001048166	54.0	9.0	16.666666666666664	1.0
STIL	NM_001282939	54.0	9.0	16.666666666666664	1.0
STIL	NM_001282938	54.0	9.0	16.666666666666664	1.0
STIL	NM_001282937	54.0	9.0	16.666666666666664	1.0
STIL	NM_001282936	54.0	9.0	16.666666666666664	1.0
FOXE3	NM_012186	9.0	9.0	100.0	1.0
ORC1	NM_001190818	15.0	5.0	33.33333333333333	1.0
ORC1	NM_001190819	15.0	5.0	33.33333333333333	1.0
ORC1	NM_004153	15.0	5.0	33.33333333333333	1.0
COA7	NM_023077	4.0	4.0	100.0	1.0
SCP2	NM_002979	6.0	1.0	16.666666666666664	1.0
SCP2	NM_001193600	6.0	1.0	16.666666666666664	1.0
SCP2	NM_001193599	6.0	1.0	16.666666666666664	1.0
SCP2	NM_001193617	6.0	1.0	16.666666666666664	1.0
SCP2	NM_001330587	6.0	1.0	16.666666666666664	1.0
SCP2	NM_001007098	6.0	1.0	16.666666666666664	1.0
CPT2	NM_000098	123.0	63.0	51.21951219512195	1.0
PARS2	NM_152268	7.0	7.0	100.0	1.0
DHCR24	NM_014762	5.0	5.0	100.0	1.0
BSND	NM_057176	9.0	9.0	100.0	1.0
PCSK9	NM_174936	27.0	18.0	66.66666666666666	1.0
C8B	NM_000066	21.0	7.0	33.33333333333333	1.0
C8B	NM_001278544	21.0	7.0	33.33333333333333	1.0
C8B	NM_001278543	21.0	7.0	33.33333333333333	1.0
TACSTD2	NM_002353	7.0	7.0	100.0	1.0
MYSM1	NM_001085487	2.0	2.0	100.0	1.0
NFIA	NM_001145512	55.0	14.0	25.454545454545453	1.0
NFIA	NM_001134673	55.0	14.0	25.454545454545453	1.0
NFIA	NM_005595	55.0	14.0	25.454545454545453	1.0
DOCK7	NM_001272001	53.0	10.0	18.867924528301888	1.0
DOCK7	NM_001272000	53.0	10.0	18.867924528301888	1.0
DOCK7	NM_033407	53.0	10.0	18.867924528301888	1.0
DOCK7	NM_001271999	53.0	10.0	18.867924528301888	1.0
DOCK7	NM_001330614	53.0	10.0	18.867924528301888	1.0
ANGPTL3	NM_014495	6.0	6.0	100.0	1.0
ALG6	NM_013339	16.0	16.0	100.0	1.0
PGM1	NM_002633	36.0	14.0	38.88888888888889	1.0
ROR1	NM_005012	1.0	1.0	100.0	1.0
JAK1	NM_001321852	24.0	3.0	12.5	1.0
JAK1	NM_001321854	24.0	3.0	12.5	1.0
JAK1	NM_001321853	24.0	3.0	12.5	1.0
JAK1	NM_001321856	24.0	3.0	12.5	1.0
JAK1	NM_001320923	24.0	3.0	12.5	1.0
JAK1	NM_001321857	24.0	3.0	12.5	1.0
JAK1	NM_002227	24.0	3.0	12.5	1.0
JAK1	NM_001321855	24.0	3.0	12.5	1.0
DNAJC6	NM_001256865	15.0	5.0	33.33333333333333	1.0
DNAJC6	NM_014787	15.0	5.0	33.33333333333333	1.0
DNAJC6	NM_001256864	15.0	5.0	33.33333333333333	1.0
LEPR	NM_002303	32.0	7.0	21.875	1.0
SLC35D1	NM_015139	3.0	3.0	100.0	1.0
RPE65	NM_000329	32.0	32.0	100.0	1.0
CTH	NM_001902	6.0	2.0	33.33333333333333	1.0
CTH	NM_153742	6.0	2.0	33.33333333333333	1.0
CTH	NM_001190463	6.0	2.0	33.33333333333333	1.0
FPGT	NM_001112808	3.0	2.0	66.66666666666666	1.0
TNNI3K	NM_015978	2.0	2.0	100.0	1.0
ACADM	NM_001127328	270.0	57.0	21.11111111111111	1.0
ACADM	NM_001286043	270.0	57.0	21.11111111111111	1.0
ACADM	NM_000016	270.0	57.0	21.11111111111111	1.0
NEXN	NM_144573	12.0	6.0	50.0	1.0
NEXN	NM_001172309	12.0	6.0	50.0	1.0
BCL10	NM_001320715	30.0	15.0	50.0	1.0
BCL10	NM_003921	30.0	15.0	50.0	1.0
ZNF644	NM_201269	5.0	3.0	60.0	1.0
HFM1	NM_001017975	3.0	3.0	100.0	1.0
BRDT	NM_001242810	7.0	1.0	14.285714285714285	1.0
BRDT	NM_001242805	7.0	1.0	14.285714285714285	1.0
BRDT	NM_001242806	7.0	1.0	14.285714285714285	1.0
BRDT	NM_207189	7.0	1.0	14.285714285714285	1.0
BRDT	NM_001242808	7.0	1.0	14.285714285714285	1.0
BRDT	NM_001242807	7.0	1.0	14.285714285714285	1.0
BRDT	NM_001726	7.0	1.0	14.285714285714285	1.0
GLMN	NM_001319683	24.0	8.0	33.33333333333333	1.0
GLMN	NR_135089	24.0	8.0	33.33333333333333	1.0
GLMN	NM_053274	24.0	8.0	33.33333333333333	1.0
GFI1	NM_005263	6.0	2.0	33.33333333333333	1.0
GFI1	NM_001127216	6.0	2.0	33.33333333333333	1.0
GFI1	NM_001127215	6.0	2.0	33.33333333333333	1.0
RPL5	NM_000969	17.0	17.0	100.0	1.0
ABCA4	NM_000350	252.0	252.0	100.0	1.0
ARHGAP29	NM_001328665	5.0	1.0	20.0	1.0
ARHGAP29	NM_001328664	5.0	1.0	20.0	1.0
ARHGAP29	NM_001328667	5.0	1.0	20.0	1.0
ARHGAP29	NM_001328666	5.0	1.0	20.0	1.0
ARHGAP29	NM_004815	5.0	1.0	20.0	1.0
ALG14	NM_144988	5.0	2.0	40.0	1.0
ALG14	NM_001305242	5.0	2.0	40.0	1.0
DPYD	NM_000110	39.0	35.0	89.74358974358975	1.0
AGL	NM_000642	485.0	97.0	20.0	1.0
AGL	NM_000028	485.0	97.0	20.0	1.0
AGL	NM_000643	485.0	97.0	20.0	1.0
AGL	NM_000644	485.0	97.0	20.0	1.0
AGL	NM_000646	485.0	97.0	20.0	1.0
SLC35A3	NM_012243	9.0	4.0	44.44444444444444	1.0
SLC35A3	NM_001271685	9.0	4.0	44.44444444444444	1.0
SASS6	NM_194292	3.0	2.0	66.66666666666666	1.0
DBT	NM_001918	24.0	24.0	100.0	1.0
CDC14A	NM_001319211	53.0	9.0	16.9811320754717	1.0
CDC14A	NM_001319210	53.0	9.0	16.9811320754717	1.0
CDC14A	NM_003672	53.0	9.0	16.9811320754717	1.0
CDC14A	NM_033312	53.0	9.0	16.9811320754717	1.0
CDC14A	NM_001319212	53.0	9.0	16.9811320754717	1.0
GPR88	NM_022049	1.0	1.0	100.0	1.0
SLC30A7	NM_001144884	2.0	1.0	50.0	1.0
SLC30A7	NM_133496	2.0	1.0	50.0	1.0
COL11A1	NM_001854	97.0	20.0	20.618556701030926	1.0
COL11A1	NR_134980	97.0	20.0	20.618556701030926	1.0
RNPC3	NM_017619	2.0	2.0	100.0	1.0
SLC25A24	NM_013386	4.0	2.0	50.0	1.0
SLC25A24	NM_213651	4.0	2.0	50.0	1.0
GPSM2	NM_001321039	36.0	12.0	33.33333333333333	1.0
GPSM2	NM_013296	36.0	12.0	33.33333333333333	1.0
GPSM2	NM_001321038	36.0	12.0	33.33333333333333	1.0
TAF13	NM_005645	2.0	2.0	100.0	1.0
SARS	NM_001330669	4.0	2.0	50.0	1.0
SARS	NM_006513	4.0	2.0	50.0	1.0
CELSR2	NM_001408	2.0	2.0	100.0	1.0
GNAI3	NM_006496	1.0	1.0	100.0	1.0
GNAT2	NM_005272	12.0	12.0	100.0	1.0
AMPD2	NM_001257360	80.0	14.0	17.5	1.0
AMPD2	NM_139156	80.0	14.0	17.5	1.0
AMPD2	NM_004037	80.0	14.0	17.5	1.0
AMPD2	NM_001257361	80.0	14.0	17.5	1.0
ALX3	NM_006492	7.0	7.0	100.0	1.0
SLC6A17	NM_001010898	2.0	2.0	100.0	1.0
KCNA2	NM_004974	19.0	15.0	78.94736842105263	1.0
DRAM2	NM_178454	8.0	8.0	100.0	1.0
KCND3	NM_172198	12.0	6.0	50.0	1.0
KCND3	NM_004980	12.0	6.0	50.0	1.0
WNT2B	NM_004185	3.0	1.0	33.33333333333333	1.0
WNT2B	NM_001291880	3.0	1.0	33.33333333333333	1.0
WNT2B	NM_024494	3.0	1.0	33.33333333333333	1.0
SLC16A1	NM_003051	21.0	11.0	52.38095238095239	1.0
LRIG2	NM_001312686	10.0	5.0	50.0	1.0
LRIG2	NM_014813	10.0	5.0	50.0	1.0
AP4B1	NM_001253853	53.0	13.0	24.528301886792452	1.0
AP4B1	NM_006594	53.0	13.0	24.528301886792452	1.0
AP4B1	NM_001253852	53.0	13.0	24.528301886792452	1.0
AMPD1	NM_001172626	2.0	1.0	50.0	1.0
AMPD1	NM_000036	2.0	1.0	50.0	1.0
NRAS	NM_002524	27.0	27.0	100.0	1.0
TSHB	NM_000549	4.0	3.0	75.0	1.0
NGF	NM_002506	1.0	1.0	100.0	1.0
VANGL1	NM_138959	3.0	1.0	33.33333333333333	1.0
VANGL1	NM_001172411	3.0	1.0	33.33333333333333	1.0
VANGL1	NM_001172412	3.0	1.0	33.33333333333333	1.0
CASQ2	NM_001232	18.0	18.0	100.0	1.0
ATP1A1	NM_000701	40.0	13.0	32.5	1.0
ATP1A1	NM_001160233	40.0	13.0	32.5	1.0
ATP1A1	NM_001160234	40.0	13.0	32.5	1.0
IGSF3	NM_001007237	2.0	1.0	50.0	1.0
IGSF3	NM_001542	2.0	1.0	50.0	1.0
GDAP2	NM_017686	6.0	3.0	50.0	1.0
GDAP2	NM_001135589	6.0	3.0	50.0	1.0
SPAG17	NM_206996	1.0	1.0	100.0	1.0
WARS2	NM_015836	12.0	6.0	50.0	1.0
WARS2	NM_201263	12.0	6.0	50.0	1.0
LOC101929147	NR_125975	4.0	1.0	25.0	1.0
LOC101929147	NR_125976	4.0	1.0	25.0	1.0
LOC101929147	NR_125974	4.0	1.0	25.0	1.0
LOC101929147	NR_125977	4.0	1.0	25.0	1.0
HSD3B2	NM_001166120	30.0	15.0	50.0	1.0
HSD3B2	NM_000198	30.0	15.0	50.0	1.0
PHGDH	NM_006623	11.0	11.0	100.0	1.0
HMGCS2	NM_001166107	12.0	6.0	50.0	1.0
HMGCS2	NM_005518	12.0	6.0	50.0	1.0
NOTCH2	NM_024408	53.0	40.0	75.47169811320755	1.0
