tx_id	gene	gene_recovery	transcript_recovery	tx_perc_recovery
NM_001270465	ST3GAL3	63.0	2.0	3.1746031746031744
NM_001270463	ST3GAL3	63.0	2.0	3.1746031746031744
NM_174968	ST3GAL3	63.0	3.0	4.761904761904762
NR_073021	ST3GAL3	63.0	2.0	3.1746031746031744
NR_073018	ST3GAL3	63.0	2.0	3.1746031746031744
NR_073016	ST3GAL3	63.0	3.0	4.761904761904762
NM_006279	ST3GAL3	63.0	3.0	4.761904761904762
NM_001270459	ST3GAL3	63.0	3.0	4.761904761904762
NM_174966	ST3GAL3	63.0	2.0	3.1746031746031744
NR_073023	ST3GAL3	63.0	3.0	4.761904761904762
NM_174967	ST3GAL3	63.0	2.0	3.1746031746031744
NM_001270460	ST3GAL3	63.0	3.0	4.761904761904762
NM_174971	ST3GAL3	63.0	3.0	4.761904761904762
NM_174969	ST3GAL3	63.0	3.0	4.761904761904762
NM_001270461	ST3GAL3	63.0	2.0	3.1746031746031744
NR_073020	ST3GAL3	63.0	3.0	4.761904761904762
NM_001270464	ST3GAL3	63.0	2.0	3.1746031746031744
NM_174970	ST3GAL3	63.0	2.0	3.1746031746031744
NM_001270466	ST3GAL3	63.0	2.0	3.1746031746031744
NM_001270462	ST3GAL3	63.0	2.0	3.1746031746031744
NR_073017	ST3GAL3	63.0	3.0	4.761904761904762
NR_073019	ST3GAL3	63.0	3.0	4.761904761904762
NM_001328630	SLC6A9	57.0	5.0	8.771929824561402
NM_001328626	SLC6A9	57.0	5.0	8.771929824561402
NM_001024845	SLC6A9	57.0	6.0	10.526315789473683
NM_001328629	SLC6A9	57.0	6.0	10.526315789473683
NM_001328628	SLC6A9	57.0	5.0	8.771929824561402
NM_001328627	SLC6A9	57.0	6.0	10.526315789473683
NM_001261380	SLC6A9	57.0	6.0	10.526315789473683
NR_048548	SLC6A9	57.0	6.0	10.526315789473683
NM_006934	SLC6A9	57.0	6.0	10.526315789473683
NM_201649	SLC6A9	57.0	6.0	10.526315789473683
NM_001166292	PTCH2	4.0	2.0	50.0
NM_003738	PTCH2	4.0	2.0	50.0
NM_001261418	EIF2B3	15.0	5.0	33.33333333333333
NM_020365	EIF2B3	15.0	5.0	33.33333333333333
NM_001166588	EIF2B3	15.0	5.0	33.33333333333333
NR_036510	UROD	26.0	13.0	50.0
NM_000374	UROD	26.0	13.0	50.0
NM_001293192	MUTYH	827.0	76.0	9.189842805320435
NM_001048171	MUTYH	827.0	76.0	9.189842805320435
NM_001293190	MUTYH	827.0	76.0	9.189842805320435
NM_012222	MUTYH	827.0	77.0	9.310761789600967
NM_001128425	MUTYH	827.0	77.0	9.310761789600967
NM_001293196	MUTYH	827.0	74.0	8.94800483675937
NM_001048173	MUTYH	827.0	74.0	8.94800483675937
NM_001048172	MUTYH	827.0	74.0	8.94800483675937
NM_001048174	MUTYH	827.0	74.0	8.94800483675937
NM_001293191	MUTYH	827.0	75.0	9.068923821039904
NM_001293195	MUTYH	827.0	74.0	8.94800483675937
NM_025077	TOE1	14.0	14.0	100.0
NM_001330540	MMACHC	98.0	49.0	50.0
NM_015506	MMACHC	98.0	49.0	50.0
NM_001243766	POMGNT1	230.0	58.0	25.217391304347824
NM_017739	POMGNT1	230.0	60.0	26.08695652173913
NM_001290130	POMGNT1	230.0	56.0	24.347826086956523
NM_001290129	POMGNT1	230.0	56.0	24.347826086956523
NM_003579	RAD54L	10.0	5.0	50.0
NM_001142548	RAD54L	10.0	5.0	50.0
NM_172225	DMBX1	2.0	1.0	50.0
NM_147192	DMBX1	2.0	1.0	50.0
NM_003035	STIL	54.0	9.0	16.666666666666664
NM_001048166	STIL	54.0	9.0	16.666666666666664
NM_001282939	STIL	54.0	9.0	16.666666666666664
NM_001282938	STIL	54.0	9.0	16.666666666666664
NM_001282937	STIL	54.0	9.0	16.666666666666664
NM_001282936	STIL	54.0	9.0	16.666666666666664
NM_012186	FOXE3	9.0	9.0	100.0
NM_001190818	ORC1	15.0	5.0	33.33333333333333
NM_001190819	ORC1	15.0	5.0	33.33333333333333
NM_004153	ORC1	15.0	5.0	33.33333333333333
NM_023077	COA7	4.0	4.0	100.0
NM_002979	SCP2	6.0	1.0	16.666666666666664
NM_001193600	SCP2	6.0	1.0	16.666666666666664
NM_001193599	SCP2	6.0	1.0	16.666666666666664
NM_001193617	SCP2	6.0	1.0	16.666666666666664
NM_001330587	SCP2	6.0	1.0	16.666666666666664
NM_001007098	SCP2	6.0	1.0	16.666666666666664
NM_001007099	SCP2	6.0	0.0	0.0
NM_001007250	SCP2	6.0	0.0	0.0
NM_001007100	SCP2	6.0	0.0	0.0
NM_000098	CPT2	123.0	63.0	51.21951219512195
NM_001330589	CPT2	123.0	60.0	48.78048780487805
NM_152268	PARS2	7.0	7.0	100.0
NM_014762	DHCR24	5.0	5.0	100.0
NM_057176	BSND	9.0	9.0	100.0
NM_174936	PCSK9	27.0	18.0	66.66666666666666
NR_110451	PCSK9	27.0	9.0	33.33333333333333
NM_000066	C8B	21.0	7.0	33.33333333333333
NM_001278544	C8B	21.0	7.0	33.33333333333333
NM_001278543	C8B	21.0	7.0	33.33333333333333
NM_002353	TACSTD2	7.0	7.0	100.0
NM_001085487	MYSM1	2.0	2.0	100.0
NR_110617	NFIA	55.0	0.0	0.0
NR_110618	NFIA	55.0	0.0	0.0
NM_001145511	NFIA	55.0	13.0	23.636363636363637
NM_001145512	NFIA	55.0	14.0	25.454545454545453
NM_001134673	NFIA	55.0	14.0	25.454545454545453
NM_005595	NFIA	55.0	14.0	25.454545454545453
NR_104180	NFIA	55.0	0.0	0.0
NM_001272001	DOCK7	53.0	10.0	18.867924528301888
NM_001272000	DOCK7	53.0	10.0	18.867924528301888
NM_033407	DOCK7	53.0	10.0	18.867924528301888
NM_001271999	DOCK7	53.0	10.0	18.867924528301888
NM_001330614	DOCK7	53.0	10.0	18.867924528301888
NM_001272002	DOCK7	53.0	3.0	5.660377358490567
NM_014495	ANGPTL3	6.0	6.0	100.0
NM_013339	ALG6	16.0	16.0	100.0
NM_002633	PGM1	36.0	14.0	38.88888888888889
NM_001172819	PGM1	36.0	11.0	30.555555555555557
NM_001172818	PGM1	36.0	11.0	30.555555555555557
NM_005012	ROR1	1.0	1.0	100.0
NM_001083592	ROR1	1.0	0.0	0.0
NR_110666	ROR1	1.0	0.0	0.0
NR_110665	ROR1	1.0	0.0	0.0
NM_001321852	JAK1	24.0	3.0	12.5
NM_001321854	JAK1	24.0	3.0	12.5
NM_001321853	JAK1	24.0	3.0	12.5
NM_001321856	JAK1	24.0	3.0	12.5
NM_001320923	JAK1	24.0	3.0	12.5
NM_001321857	JAK1	24.0	3.0	12.5
NM_002227	JAK1	24.0	3.0	12.5
NM_001321855	JAK1	24.0	3.0	12.5
NM_001256865	DNAJC6	15.0	5.0	33.33333333333333
NM_014787	DNAJC6	15.0	5.0	33.33333333333333
NM_001256864	DNAJC6	15.0	5.0	33.33333333333333
NM_002303	LEPR	32.0	7.0	21.875
NM_001003679	LEPR	32.0	5.0	15.625
NM_001003680	LEPR	32.0	5.0	15.625
NM_001198689	LEPR	32.0	5.0	15.625
NM_001198687	LEPR	32.0	5.0	15.625
NM_001198688	LEPR	32.0	5.0	15.625
NM_015139	SLC35D1	3.0	3.0	100.0
NM_000329	RPE65	32.0	32.0	100.0
NM_001902	CTH	6.0	2.0	33.33333333333333
NM_153742	CTH	6.0	2.0	33.33333333333333
NM_001190463	CTH	6.0	2.0	33.33333333333333
NM_001112808	FPGT	3.0	2.0	66.66666666666666
NM_001199327	FPGT	3.0	1.0	33.33333333333333
NM_003838	FPGT	3.0	0.0	0.0
NM_001199328	FPGT	3.0	0.0	0.0
NM_001199329	FPGT	3.0	0.0	0.0
NM_015978	TNNI3K	2.0	2.0	100.0
NM_001127328	ACADM	270.0	57.0	21.11111111111111
NM_001286043	ACADM	270.0	57.0	21.11111111111111
NM_000016	ACADM	270.0	57.0	21.11111111111111
NM_001286042	ACADM	270.0	55.0	20.37037037037037
NM_001286044	ACADM	270.0	44.0	16.296296296296298
NR_103535	NEXN	12.0	0.0	0.0
NM_144573	NEXN	12.0	6.0	50.0
NM_001172309	NEXN	12.0	6.0	50.0
NM_001320715	BCL10	30.0	15.0	50.0
NM_003921	BCL10	30.0	15.0	50.0
NM_032186	ZNF644	5.0	1.0	20.0
NM_201269	ZNF644	5.0	3.0	60.0
NM_016620	ZNF644	5.0	1.0	20.0
NM_001017975	HFM1	3.0	3.0	100.0
NM_001242810	BRDT	7.0	1.0	14.285714285714285
NM_001242805	BRDT	7.0	1.0	14.285714285714285
NM_001242806	BRDT	7.0	1.0	14.285714285714285
NM_207189	BRDT	7.0	1.0	14.285714285714285
NM_001242808	BRDT	7.0	1.0	14.285714285714285
NM_001242807	BRDT	7.0	1.0	14.285714285714285
NM_001726	BRDT	7.0	1.0	14.285714285714285
NM_001319683	GLMN	24.0	8.0	33.33333333333333
NR_135089	GLMN	24.0	8.0	33.33333333333333
NM_053274	GLMN	24.0	8.0	33.33333333333333
NM_005263	GFI1	6.0	2.0	33.33333333333333
NM_001127216	GFI1	6.0	2.0	33.33333333333333
NM_001127215	GFI1	6.0	2.0	33.33333333333333
NM_000969	RPL5	17.0	17.0	100.0
NM_000350	ABCA4	252.0	252.0	100.0
NM_001328665	ARHGAP29	5.0	1.0	20.0
NM_001328664	ARHGAP29	5.0	1.0	20.0
NM_001328667	ARHGAP29	5.0	1.0	20.0
NM_001328666	ARHGAP29	5.0	1.0	20.0
NM_004815	ARHGAP29	5.0	1.0	20.0
NR_131032	ALG14	5.0	1.0	20.0
NM_144988	ALG14	5.0	2.0	40.0
NM_001305242	ALG14	5.0	2.0	40.0
NM_000110	DPYD	39.0	35.0	89.74358974358975
NM_001160301	DPYD	39.0	3.0	7.6923076923076925
NR_046590	DPYD	39.0	1.0	2.564102564102564
NR_046591	DPYD	39.0	0.0	0.0
NM_000642	AGL	485.0	97.0	20.0
NM_000028	AGL	485.0	97.0	20.0
NM_000643	AGL	485.0	97.0	20.0
NM_000644	AGL	485.0	97.0	20.0
NM_000646	AGL	485.0	97.0	20.0
NM_012243	SLC35A3	9.0	4.0	44.44444444444444
